Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,256.000000,257.779999,253.919998,255.660004,255.660004,529100
2021-04-13,255.940002,257.489990,253.990005,254.050003,254.050003,552500
2021-04-14,254.520004,256.690002,252.600006,253.119995,253.119995,644700
2021-04-15,254.509995,260.570007,254.460007,259.410004,259.410004,728300
2021-04-16,260.640015,263.079987,256.750000,262.200012,262.200012,585000
2021-04-19,261.250000,263.619995,258.959991,260.510010,260.510010,560100
2021-04-20,259.750000,261.040009,255.850006,260.000000,260.000000,474700
2021-04-21,260.989990,261.839996,259.200012,261.359985,261.359985,330900
2021-04-22,261.660004,266.420013,261.660004,264.850006,264.850006,505300
2021-04-23,264.239990,266.239990,262.459991,263.950012,263.950012,477400
2021-04-26,264.989990,266.029999,263.700012,264.649994,264.649994,371300
2021-04-27,263.640015,266.140015,262.910004,264.160004,264.160004,368400
2021-04-28,262.399994,264.589996,261.829987,262.709991,262.709991,378400
2021-04-29,268.899994,269.950012,262.750000,267.000000,267.000000,779700
2021-04-30,266.200012,269.429993,263.750000,265.869995,265.869995,673700
2021-05-03,268.000000,269.899994,265.600006,267.329987,267.329987,616600
2021-05-04,268.670013,274.130005,266.970001,273.579987,273.579987,844300
2021-05-05,273.679993,277.209991,269.399994,276.209991,276.209991,697000
2021-05-06,275.579987,278.089996,273.500000,278.079987,278.079987,624600
2021-05-07,278.109985,280.619995,276.940002,278.140015,278.140015,483900
2021-05-10,279.779999,280.690002,277.019989,277.079987,277.079987,724700
2021-05-11,275.709991,278.630005,274.829987,276.100006,276.100006,613600
2021-05-12,277.329987,280.170013,271.200012,271.910004,271.910004,788200
2021-05-13,272.000000,277.859985,271.579987,276.570007,276.570007,640900
2021-05-14,277.200012,280.190002,274.119995,274.500000,274.500000,522400
2021-05-17,273.929993,275.000000,266.769989,267.329987,267.329987,968800
2021-05-18,267.820007,270.809998,265.000000,267.029999,267.029999,857800
2021-05-19,265.079987,267.309998,262.079987,267.040009,267.040009,555400
2021-05-20,268.440002,271.640015,267.339996,269.609985,269.609985,687300
2021-05-21,270.549988,272.630005,267.959991,269.010010,269.010010,583700
2021-05-24,270.959991,273.410004,270.769989,271.269989,271.269989,584300
