Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,351.269989,355.220001,348.209991,353.559998,353.559998,599800
2020-08-27,353.130005,353.130005,345.100006,351.109985,351.109985,855200
2020-08-28,351.579987,354.279999,350.589996,354.000000,354.000000,507800
2020-08-31,352.179993,359.350006,351.010010,357.220001,357.220001,802600
2020-09-01,355.350006,356.670013,346.910004,347.839996,347.839996,962400
2020-09-02,349.450012,368.299988,347.989990,364.529999,364.529999,1126500
2020-09-03,366.739990,366.739990,342.609985,346.519989,346.519989,957600
2020-09-04,346.059998,346.059998,332.640015,342.390015,342.390015,845200
2020-09-08,336.000000,346.160004,333.709991,340.950012,340.950012,1095400
2020-09-09,342.959991,351.600006,341.000000,347.000000,347.000000,684200
2020-09-10,346.829987,353.679993,343.559998,346.109985,346.109985,598100
2020-09-11,349.109985,350.859985,345.019989,349.929993,349.929993,683900
2020-09-14,354.690002,358.959991,352.160004,353.649994,353.649994,751500
2020-09-15,355.220001,358.369995,351.350006,352.190002,352.190002,773600
2020-09-16,355.190002,376.670013,320.239990,322.470001,322.470001,3409800
2020-09-17,315.910004,316.809998,293.489990,298.019989,298.019989,5365900
2020-09-18,298.359985,300.920013,290.829987,295.500000,295.500000,4340200
2020-09-21,266.869995,283.239990,260.420013,270.130005,270.130005,7343500
2020-09-22,268.809998,275.260010,261.250000,268.510010,268.510010,4232800
2020-09-23,274.700012,278.160004,271.140015,273.000000,273.000000,2173300
2020-09-24,273.690002,287.489990,267.100006,286.309998,286.309998,2544600
2020-09-25,284.429993,302.230011,279.880005,299.890015,299.890015,4336900
2020-09-28,307.250000,307.609985,297.670013,305.459991,305.459991,1907100
2020-09-29,304.600006,309.700012,302.369995,305.500000,305.500000,1610800
2020-09-30,305.179993,310.609985,303.609985,309.079987,309.079987,1576000
2020-10-01,312.769989,313.140015,306.149994,309.609985,309.609985,1783500
2020-10-02,306.149994,311.779999,305.000000,308.429993,308.429993,1555700
2020-10-05,310.739990,320.619995,310.079987,316.170013,316.170013,1430800
2020-10-06,317.790009,323.929993,315.100006,317.279999,317.279999,1327100
2020-10-07,319.320007,325.320007,314.549988,324.339996,324.339996,1156700
2020-10-08,327.779999,334.000000,322.640015,333.779999,333.779999,1363800
2020-10-09,337.989990,339.600006,333.970001,339.040009,339.040009,1420100
2020-10-12,341.059998,356.000000,339.630005,352.320007,352.320007,1672900
2020-10-13,341.869995,346.500000,337.529999,345.140015,345.140015,1731300
2020-10-14,345.500000,347.429993,326.239990,330.119995,330.119995,1653300
2020-10-15,327.929993,330.709991,320.149994,323.779999,323.779999,1241400
2020-10-16,326.200012,332.730011,325.570007,326.309998,326.309998,1556100
2020-10-19,328.350006,329.279999,318.670013,321.260010,321.260010,1012300
2020-10-20,320.950012,325.250000,318.619995,320.440002,320.440002,685500
2020-10-21,320.510010,323.390015,316.420013,317.850006,317.850006,553100
2020-10-22,318.839996,326.880005,318.839996,325.920013,325.920013,818700
2020-10-23,327.880005,327.880005,320.000000,323.549988,323.549988,760600
2020-10-26,321.290009,323.500000,313.309998,319.059998,319.059998,926000
2020-10-27,321.440002,328.000000,318.440002,321.739990,321.739990,1227200
2020-10-28,317.359985,320.000000,309.660004,309.690002,309.690002,1248400
2020-10-29,309.850006,319.149994,305.250000,314.899994,314.899994,1468700
2020-10-30,308.589996,311.769989,288.010010,292.700012,292.700012,2726500
2020-11-02,298.000000,303.869995,288.880005,292.880005,292.880005,1572100
2020-11-03,297.000000,301.600006,293.769989,296.630005,296.630005,1198900
2020-11-04,308.500000,311.940002,299.700012,311.329987,311.329987,1645300
2020-11-05,319.529999,319.549988,307.690002,311.720001,311.720001,705500
2020-11-06,310.100006,311.250000,302.410004,308.160004,308.160004,880900
2020-11-09,316.839996,319.049988,305.179993,305.690002,305.690002,1595700
2020-11-10,301.609985,308.000000,299.190002,301.559998,301.559998,1618900
2020-11-11,303.290009,307.890015,299.320007,302.350006,302.350006,981700
2020-11-12,302.179993,307.640015,299.690002,304.309998,304.309998,971700
2020-11-13,305.640015,310.010010,304.109985,308.859985,308.859985,870500
2020-11-16,309.000000,309.070007,295.790009,296.730011,296.730011,1653400
2020-11-17,296.730011,299.369995,293.989990,297.950012,297.950012,1279200
2020-11-18,296.989990,301.100006,295.000000,295.230011,295.230011,1078800
2020-11-19,295.709991,300.829987,292.649994,299.000000,299.000000,984700
2020-11-20,300.269989,306.690002,297.209991,300.799988,300.799988,878800
2020-11-23,301.000000,306.000000,297.570007,301.850006,301.850006,876900
2020-11-24,304.809998,309.769989,303.260010,305.630005,305.630005,978300
2020-11-25,309.239990,309.399994,301.730011,303.980011,303.980011,541200
2020-11-27,305.000000,319.329987,304.010010,317.029999,317.029999,981700
2020-11-30,317.320007,322.549988,311.019989,322.089996,322.089996,1603200
2020-12-01,323.859985,336.540009,322.600006,334.339996,334.339996,2119200
2020-12-02,334.350006,341.619995,332.299988,340.820007,340.820007,1487600
2020-12-03,341.010010,346.600006,337.019989,346.000000,346.000000,1720400
2020-12-04,345.070007,350.989990,343.399994,350.660004,350.660004,1172900
2020-12-07,348.029999,350.899994,341.549988,342.820007,342.820007,952500
2020-12-08,341.190002,343.399994,335.679993,342.720001,342.720001,958600
2020-12-09,343.260010,346.559998,336.000000,337.760010,337.760010,1423600
2020-12-10,338.149994,348.929993,336.559998,343.709991,343.709991,784800
2020-12-11,341.880005,345.279999,338.970001,342.010010,342.010010,798500
2020-12-14,345.000000,351.320007,344.200012,347.109985,347.109985,992400
2020-12-15,348.839996,353.149994,346.779999,352.619995,352.619995,945300
2020-12-16,353.489990,354.589996,350.040009,353.320007,353.320007,759000
2020-12-17,358.440002,361.910004,356.269989,361.299988,361.299988,1349800
2020-12-18,365.279999,366.690002,359.950012,366.059998,366.059998,1922700
2020-12-21,360.700012,364.350006,356.899994,362.630005,362.630005,1073100
2020-12-22,368.089996,378.329987,365.790009,370.959991,370.959991,1184300
2020-12-23,370.010010,374.179993,366.059998,366.519989,366.519989,747500
2020-12-24,363.450012,369.059998,362.010010,367.290009,367.290009,269200
2020-12-28,372.730011,373.200012,365.839996,366.779999,366.779999,539400
2020-12-29,371.079987,372.809998,363.109985,366.109985,366.109985,452100
2020-12-30,368.220001,370.339996,360.760010,364.089996,364.089996,580300
2020-12-31,366.359985,370.429993,360.899994,370.000000,370.000000,513600
2021-01-04,370.839996,374.500000,361.390015,367.760010,367.760010,970100
2021-01-05,365.269989,374.920013,363.769989,374.899994,374.899994,822100
2021-01-06,367.429993,380.570007,365.000000,376.549988,376.549988,999700
2021-01-07,376.679993,384.269989,376.649994,382.410004,382.410004,804200
2021-01-08,384.570007,387.149994,375.000000,379.609985,379.609985,1057800
2021-01-11,379.649994,382.500000,356.000000,372.480011,372.480011,1933200
2021-01-12,370.850006,372.750000,359.019989,361.279999,361.279999,1270400
2021-01-13,361.869995,363.299988,359.320007,362.000000,362.000000,1430200
2021-01-14,364.019989,372.299988,362.029999,371.040009,371.040009,860300
2021-01-15,371.239990,396.000000,370.029999,376.350006,376.350006,1873300
2021-01-19,382.480011,390.829987,379.970001,390.209991,390.209991,1142000
2021-01-20,389.950012,404.070007,389.950012,403.540009,403.540009,1383300
2021-01-21,403.000000,407.130005,395.000000,404.869995,404.869995,1069200
2021-01-22,400.660004,408.809998,398.250000,406.250000,406.250000,803500
2021-01-25,407.019989,425.709991,406.690002,421.000000,421.000000,1700200
2021-01-26,418.950012,425.920013,416.290009,420.549988,420.549988,1128000
2021-01-27,414.519989,434.940002,406.839996,432.079987,432.079987,2228000
2021-01-28,433.500000,453.679993,432.959991,438.220001,438.220001,1500700
2021-01-29,435.730011,439.220001,425.720001,426.440002,426.440002,1369400
2021-02-01,427.140015,450.260010,427.140015,443.380005,443.380005,1130300
2021-02-02,444.839996,453.000000,432.440002,440.250000,440.250000,928800
2021-02-03,440.140015,440.500000,419.700012,420.200012,420.200012,961200
2021-02-04,425.390015,432.000000,419.299988,428.640015,428.640015,782700
2021-02-05,431.899994,432.480011,422.549988,428.910004,428.910004,792200
2021-02-08,432.440002,451.359985,431.019989,451.059998,451.059998,1129000
2021-02-09,450.000000,453.799988,442.089996,453.000000,453.000000,917100
2021-02-10,450.970001,460.519989,448.410004,450.000000,450.000000,1014100
2021-02-11,454.130005,456.660004,445.510010,451.220001,451.220001,901400
2021-02-12,453.309998,555.770020,452.329987,504.760010,504.760010,3378100
2021-02-16,508.380005,508.380005,487.339996,492.549988,492.549988,1512800
2021-02-17,490.869995,496.959991,481.500000,494.239990,494.239990,921600
2021-02-18,486.750000,490.049988,475.600006,485.790009,485.790009,921200
2021-02-19,488.179993,494.000000,479.549988,486.260010,486.260010,936000
2021-02-22,480.000000,482.839996,468.480011,470.559998,470.559998,995300
2021-02-23,463.279999,469.609985,450.160004,464.540009,464.540009,1317100
2021-02-24,462.000000,466.040009,448.079987,461.049988,461.049988,1135700
2021-02-25,460.809998,461.760010,437.160004,445.859985,445.859985,1294600
2021-02-26,444.850006,445.980011,432.059998,439.410004,439.410004,1457400
2021-03-01,449.000000,451.739990,443.140015,446.500000,446.500000,865400
2021-03-02,444.609985,448.350006,438.070007,441.010010,441.010010,753000
2021-03-03,436.559998,437.109985,416.170013,416.410004,416.410004,1130500
2021-03-04,413.350006,418.350006,395.690002,399.609985,399.609985,1268000
2021-03-05,402.239990,403.480011,382.410004,398.850006,398.850006,1181800
2021-03-08,396.470001,404.480011,383.089996,383.619995,383.619995,908700
2021-03-09,391.209991,405.910004,391.209991,400.859985,400.859985,965400
2021-03-10,407.859985,417.279999,399.170013,399.450012,399.450012,709400
2021-03-11,406.570007,418.420013,404.600006,412.890015,412.890015,669800
2021-03-12,402.410004,405.739990,393.799988,405.119995,405.119995,687800
2021-03-15,404.309998,421.880005,404.309998,420.320007,420.320007,943400
2021-03-16,421.059998,425.519989,412.029999,419.529999,419.529999,1086800
2021-03-17,413.970001,424.109985,408.649994,420.119995,420.119995,887200
2021-03-18,412.470001,415.920013,405.329987,409.190002,409.190002,950600
2021-03-19,410.739990,418.000000,407.010010,415.899994,415.899994,1225500
2021-03-22,416.239990,431.149994,416.239990,429.920013,429.920013,1138900
2021-03-23,431.390015,431.730011,416.220001,416.429993,416.429993,711300
2021-03-24,417.660004,421.549988,404.799988,406.799988,406.799988,652800
2021-03-25,404.609985,409.910004,394.320007,398.130005,398.130005,1275000
2021-03-26,400.000000,402.730011,393.480011,401.459991,401.459991,1161300
2021-03-29,401.500000,402.980011,389.540009,395.000000,395.000000,1373700
2021-03-30,394.399994,405.190002,364.239990,368.959991,368.959991,4516200
2021-03-31,373.209991,389.049988,373.019989,384.059998,384.059998,2494700
2021-04-01,393.209991,398.940002,380.739990,385.040009,385.040009,1361000
2021-04-05,386.029999,387.920013,379.260010,384.540009,384.540009,1008100
2021-04-06,424.359985,426.440002,412.989990,414.839996,414.839996,3178300
2021-04-07,412.149994,414.619995,398.679993,400.549988,400.549988,1000300
2021-04-08,405.220001,409.190002,402.209991,403.739990,403.739990,749800
2021-04-09,406.260010,406.260010,394.500000,403.369995,403.369995,662000
2021-04-12,402.779999,405.000000,395.040009,398.989990,398.989990,646300
2021-04-13,400.130005,407.000000,399.679993,403.149994,403.149994,701900
2021-04-14,406.649994,408.579987,396.619995,398.070007,398.070007,655600
2021-04-15,403.760010,407.720001,399.619995,401.959991,401.959991,980000
2021-04-16,401.890015,402.390015,390.519989,399.000000,399.000000,1176800
2021-04-19,398.049988,405.250000,393.350006,404.179993,404.179993,906400
2021-04-20,401.829987,406.950012,395.489990,398.390015,398.390015,571000
2021-04-21,398.029999,404.070007,395.010010,403.329987,403.329987,554600
2021-04-22,402.019989,411.429993,402.019989,408.420013,408.420013,678900
2021-04-23,410.929993,416.709991,410.040009,414.970001,414.970001,798300
2021-04-26,417.750000,421.059998,412.839996,420.760010,420.760010,854400
2021-04-27,417.190002,422.640015,413.549988,413.549988,413.549988,903300
2021-04-28,414.619995,417.000000,393.000000,405.540009,405.540009,859700
2021-04-29,407.739990,411.029999,396.890015,399.929993,399.929993,733200
2021-04-30,397.230011,399.450012,390.480011,392.839996,392.839996,947200
2021-05-03,394.670013,396.660004,385.950012,386.399994,386.399994,962200
2021-05-04,384.149994,384.149994,375.079987,378.369995,378.369995,963700
2021-05-05,381.880005,384.089996,377.429993,378.350006,378.350006,678400
2021-05-06,375.929993,377.220001,369.079987,377.089996,377.089996,702600
2021-05-07,379.760010,389.450012,378.690002,383.940002,383.940002,703700
2021-05-10,382.920013,383.269989,379.059998,380.459991,380.459991,772900
2021-05-11,377.149994,385.609985,373.459991,381.510010,381.510010,651000
2021-05-12,374.700012,382.029999,371.000000,372.839996,372.839996,817800
2021-05-13,375.589996,379.109985,368.070007,373.450012,373.450012,688900
2021-05-14,375.459991,383.649994,372.989990,381.029999,381.029999,714200
2021-05-17,380.079987,381.940002,375.980011,379.480011,379.480011,754700
2021-05-18,379.529999,391.850006,378.040009,386.359985,386.359985,801900
2021-05-19,378.480011,387.049988,377.450012,386.720001,386.720001,824700
2021-05-20,390.359985,404.000000,389.500000,396.480011,396.480011,1210100
2021-05-21,397.769989,406.510010,397.500000,398.619995,398.619995,882900
2021-05-24,403.040009,406.890015,399.790009,399.989990,399.989990,617000
2021-05-25,401.480011,405.000000,395.859985,397.089996,397.089996,652800
2021-05-26,395.790009,399.970001,395.700012,397.700012,397.700012,610400
2021-05-27,397.489990,409.559998,396.570007,408.989990,408.989990,2396500
2021-05-28,410.000000,416.489990,404.070007,405.640015,405.640015,919300
2021-06-01,410.489990,410.799988,399.149994,407.450012,407.450012,812300
2021-06-02,407.250000,413.130005,406.489990,412.959991,412.959991,618700
2021-06-03,408.720001,413.510010,401.519989,404.579987,404.579987,664100
2021-06-04,407.380005,421.769989,405.470001,418.119995,418.119995,695300
2021-06-07,419.679993,435.869995,418.119995,430.339996,430.339996,892700
2021-06-08,434.760010,439.989990,426.209991,433.869995,433.869995,642100
2021-06-09,437.029999,438.480011,429.179993,433.940002,433.940002,637600
2021-06-10,433.829987,451.750000,430.390015,450.670013,450.670013,771500
2021-06-11,449.019989,453.250000,445.779999,453.170013,453.170013,638800
2021-06-14,453.299988,455.260010,448.329987,452.140015,452.140015,603900
2021-06-15,452.489990,453.959991,448.029999,451.809998,451.809998,396700
2021-06-16,454.209991,457.200012,440.130005,445.410004,445.410004,694300
2021-06-17,443.790009,457.570007,442.230011,455.350006,455.350006,531400
2021-06-18,453.279999,460.480011,450.720001,456.160004,456.160004,1084700
2021-06-21,458.839996,465.929993,450.290009,461.049988,461.049988,424400
2021-06-22,461.790009,467.119995,458.609985,465.690002,465.690002,470300
2021-06-23,464.670013,472.540009,464.209991,469.130005,469.130005,534800
2021-06-24,472.399994,477.260010,467.570007,468.070007,468.070007,454700
2021-06-25,468.880005,475.380005,467.510010,474.660004,474.660004,593600
2021-06-28,479.279999,487.000000,477.500000,481.500000,481.500000,601400
2021-06-29,481.019989,483.380005,475.559998,479.179993,479.179993,458400
2021-06-30,478.170013,480.359985,470.429993,473.209991,473.209991,541400
2021-07-01,472.000000,476.160004,469.750000,470.660004,470.660004,687400
2021-07-02,477.959991,477.959991,469.010010,474.730011,474.730011,535700
2021-07-06,472.920013,476.040009,469.329987,474.850006,474.850006,575900
2021-07-07,477.589996,479.000000,466.609985,473.450012,473.450012,666600
2021-07-08,467.320007,474.290009,466.059998,472.859985,472.859985,448300
2021-07-09,474.910004,478.359985,469.209991,476.799988,476.799988,630000
2021-07-12,480.000000,485.730011,476.970001,484.100006,484.100006,516700
2021-07-13,483.519989,488.000000,480.309998,483.519989,483.519989,527800
2021-07-14,484.720001,485.720001,459.429993,460.920013,460.920013,609800
2021-07-15,460.920013,465.910004,455.920013,462.489990,462.489990,533800
2021-07-16,462.869995,470.089996,460.380005,465.459991,465.459991,436100
2021-07-19,464.000000,478.790009,461.570007,469.739990,469.739990,692000
2021-07-20,469.980011,489.440002,468.500000,487.250000,487.250000,847100
2021-07-21,483.950012,485.920013,471.290009,480.850006,480.850006,552800
2021-07-22,482.230011,487.660004,480.589996,486.519989,486.519989,371900
2021-07-23,487.089996,496.600006,485.480011,495.510010,495.510010,410300
