Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30,43.130001,43.180000,41.830002,41.869999,37.770149,29901100
2020-07-31,41.160000,42.169998,40.910000,42.080002,37.959587,32116200
2020-08-03,42.049999,42.500000,41.470001,42.250000,38.112938,23033600
2020-08-04,42.340000,43.599998,42.240002,43.470001,39.213482,17724000
2020-08-05,44.150002,44.310001,43.529999,43.849998,39.556274,17175100
2020-08-06,43.400002,43.900002,43.250000,43.639999,39.366833,14434900
2020-08-07,43.230000,43.520000,42.810001,43.439999,39.186420,18757900
2020-08-10,43.990002,44.599998,43.599998,44.509998,40.151649,24367800
2020-08-11,45.500000,46.419998,44.730000,44.970001,40.566605,28987500
2020-08-12,44.459999,44.939999,43.630001,44.090000,40.557404,22503200
2020-08-13,43.500000,43.869999,42.919998,43.009998,39.563938,17338700
2020-08-14,42.599998,43.279999,42.410000,43.200001,39.738716,13595700
2020-08-17,43.169998,43.169998,42.470001,42.639999,39.223583,15554600
2020-08-18,42.590000,43.189999,42.290001,42.430000,39.030415,13014000
2020-08-19,42.349998,42.660000,41.869999,41.959999,38.598064,14473100
2020-08-20,41.689999,41.889999,41.299999,41.320000,38.009342,15678500
2020-08-21,41.299999,41.340000,40.709999,41.009998,37.724178,25517700
2020-08-24,41.279999,42.509998,41.090000,42.220001,38.837234,18208900
2020-08-25,41.660000,42.070000,40.700001,40.880001,37.604595,31285600
2020-08-26,40.639999,40.840000,40.000000,40.009998,36.804302,26795000
2020-08-27,40.000000,40.299999,39.310001,39.740002,36.555935,32034300
2020-08-28,39.840000,40.919998,39.759998,40.689999,37.429817,33477100
2020-08-31,40.639999,40.720001,39.900002,39.939999,36.739910,25259600
2020-09-01,39.750000,39.750000,39.049999,39.430000,36.270779,22464100
2020-09-02,39.230000,39.720001,38.950001,39.189999,36.050003,26413400
2020-09-03,39.200001,40.029999,38.880001,39.110001,35.976414,28817200
2020-09-04,39.459999,39.790001,38.650002,39.080002,35.948822,24632500
2020-09-08,38.250000,38.680000,37.349998,38.180000,35.120926,38496400
2020-09-09,38.349998,38.840000,37.919998,37.950001,34.909359,25886100
2020-09-10,38.270000,38.369999,36.900002,37.000000,34.035469,34381200
2020-09-11,37.130001,37.310001,36.490002,36.900002,33.943489,26838600
2020-09-14,36.910000,37.009998,36.490002,36.660000,33.722713,26129900
2020-09-15,36.799999,37.380001,36.209999,36.270000,33.363964,23724200
2020-09-16,36.459999,38.150002,36.270000,37.810001,34.780579,30890900
2020-09-17,37.349998,37.980000,36.970001,37.799999,34.771374,24696200
2020-09-18,37.529999,37.820000,36.700001,37.189999,34.210251,46853800
2020-09-21,36.430000,36.709999,35.680000,36.430000,33.511147,35351800
2020-09-22,36.459999,36.840000,35.470001,35.529999,32.683254,27303200
2020-09-23,35.650002,35.790001,34.349998,34.389999,31.634594,31251400
2020-09-24,34.400002,34.820000,33.759998,34.320000,31.570200,26796000
2020-09-25,34.000000,34.939999,33.880001,34.639999,31.864563,23486000
2020-09-28,35.139999,35.900002,35.099998,35.310001,32.480877,23396500
2020-09-29,35.000000,35.110001,33.990002,34.279999,31.533403,20770500
2020-09-30,34.639999,34.919998,34.130001,34.330002,31.579397,22223700
2020-10-01,33.790001,34.099998,32.939999,33.130001,30.475546,36890200
2020-10-02,32.250000,33.349998,32.209999,32.980000,30.337563,32694300
2020-10-05,33.320000,33.750000,33.169998,33.740002,31.036673,22965200
2020-10-06,34.119999,34.419998,33.310001,33.389999,30.714712,26731800
2020-10-07,33.639999,33.740002,33.209999,33.500000,30.815901,23779300
2020-10-08,33.880001,35.340000,33.759998,35.259998,32.434883,34413700
2020-10-09,35.680000,35.950001,34.650002,34.740002,31.956551,29228600
2020-10-12,34.540001,34.730000,34.230000,34.630001,31.855368,17912800
2020-10-13,34.730000,34.869999,34.099998,34.220001,31.478214,20995100
2020-10-14,34.060001,34.830002,34.029999,34.150002,31.413824,17743000
2020-10-15,33.700001,34.459999,33.270000,34.450001,31.689783,23251600
2020-10-16,34.369999,34.639999,33.880001,34.099998,31.367828,22627200
2020-10-19,34.099998,34.369999,33.389999,33.419998,30.742308,23645800
2020-10-20,33.660000,33.930000,33.330002,33.700001,30.999876,23040600
2020-10-21,33.509998,33.619999,33.139999,33.160000,30.503143,28619300
2020-10-22,33.180000,34.959999,33.020000,34.860001,32.066933,31831500
2020-10-23,34.970001,35.080002,33.860001,34.160000,31.423018,27429100
2020-10-26,33.610001,33.770000,32.950001,33.349998,30.677914,30888700
2020-10-27,33.150002,33.200001,32.700001,32.820000,30.190386,27100700
2020-10-28,32.099998,32.380001,31.520000,31.570000,29.040539,42136400
2020-10-29,31.410000,33.130001,31.110001,32.970001,30.328367,38622800
2020-10-30,32.410000,33.139999,32.009998,32.619999,30.006409,47885700
2020-11-02,33.139999,34.459999,32.570000,33.990002,31.266642,40130300
2020-11-03,34.490002,34.490002,33.130001,33.410000,30.733112,36773000
2020-11-04,33.270000,34.139999,32.529999,33.230000,30.567535,35410100
2020-11-05,33.369999,33.919998,33.139999,33.169998,30.512341,30824100
2020-11-06,33.099998,33.660000,32.619999,32.779999,30.153589,33985600
2020-11-09,36.419998,38.009998,36.060001,36.930000,33.971085,76879400
2020-11-10,37.049999,37.430000,35.980000,36.860001,34.724739,49055400
2020-11-11,37.090000,37.119999,36.189999,36.480000,34.366753,34124500
2020-11-12,35.860001,36.290001,34.869999,35.230000,33.189163,30933700
2020-11-13,35.400002,36.250000,35.380001,36.080002,33.989925,29241500
2020-11-16,37.590000,38.169998,37.099998,38.160000,35.949429,38596800
2020-11-17,37.810001,38.709999,37.380001,38.669998,36.429886,26521100
2020-11-18,39.020000,39.130001,37.200001,37.209999,35.054462,31068000
2020-11-19,36.860001,37.500000,36.560001,37.400002,35.233456,26954400
2020-11-20,37.349998,37.410000,36.779999,36.939999,34.800098,18351000
2020-11-23,37.500000,39.430000,37.279999,39.360001,37.079918,29367600
2020-11-24,40.509998,42.080002,40.220001,41.980000,39.548141,46979300
2020-11-25,41.669998,41.709999,40.650002,40.810001,38.445919,28178200
2020-11-27,40.700001,40.939999,39.869999,40.189999,37.861835,14971900
2020-11-30,39.799999,39.880001,37.970001,38.130001,35.921169,45614300
2020-12-01,38.959999,39.650002,38.470001,38.500000,36.269733,32472900
2020-12-02,38.389999,40.419998,38.340000,39.939999,37.626316,29369500
2020-12-03,40.070000,40.639999,39.730000,40.209999,37.880672,27038900
2020-12-04,40.770000,41.759998,40.650002,41.680000,39.265518,28723600
2020-12-07,41.419998,41.540001,40.669998,40.900002,38.530704,24899400
2020-12-08,40.529999,42.590000,40.439999,42.240002,39.793083,32573800
2020-12-09,42.709999,43.730000,42.380001,42.799999,40.320637,37824800
2020-12-10,43.200001,44.470001,42.759998,44.009998,41.460545,38058700
2020-12-11,43.700001,43.930000,43.209999,43.799999,41.262711,25478800
2020-12-14,44.340000,44.459999,42.180000,42.220001,39.774239,30595000
2020-12-15,42.439999,43.220001,42.060001,43.040001,40.546738,27138400
2020-12-16,43.750000,44.110001,42.959999,43.700001,41.168503,34273000
2020-12-17,44.000000,44.040001,43.400002,43.480000,40.961250,21204600
2020-12-18,43.270000,43.779999,42.419998,42.730000,40.254696,46596800
2020-12-21,41.110001,42.080002,40.529999,41.950001,39.519878,27869500
2020-12-22,41.580002,41.900002,41.230000,41.240002,38.851009,21792900
2020-12-23,41.509998,42.389999,41.459999,41.770000,39.350304,19085900
2020-12-24,41.650002,41.849998,41.380001,41.599998,39.190155,8039000
2020-12-28,41.689999,42.549999,41.520000,41.740002,39.322044,23877500
2020-12-29,42.040001,42.119999,41.200001,41.270000,38.879269,20287700
2020-12-30,41.330002,42.419998,41.270000,41.599998,39.190155,23807300
2020-12-31,41.470001,41.680000,40.970001,41.220001,38.832172,22786500
2021-01-04,41.450001,42.250000,41.000000,41.500000,39.095951,27764700
2021-01-05,41.840000,44.799999,41.830002,43.500000,40.980091,44035100
2021-01-06,44.410000,45.099998,43.700001,44.610001,42.025787,36484800
2021-01-07,45.000000,45.570000,44.529999,44.959999,42.355511,29528100
2021-01-08,45.200001,45.820000,44.950001,45.459999,42.826550,28628200
2021-01-11,45.040001,47.139999,44.750000,46.840000,44.126606,38246200
2021-01-12,47.459999,48.169998,46.910000,47.880001,45.106365,36915100
2021-01-13,48.529999,48.709999,47.689999,48.419998,45.615078,29000300
2021-01-14,48.500000,51.080002,48.500000,50.310001,47.395596,35474800
2021-01-15,48.910000,49.080002,47.290001,47.889999,45.115780,42411300
2021-01-19,48.450001,49.439999,48.349998,48.840000,46.010746,24932600
2021-01-20,49.110001,49.740002,48.990002,49.529999,46.660774,22342400
2021-01-21,49.330002,49.389999,47.680000,48.110001,45.323036,29044500
2021-01-22,47.009998,47.639999,46.639999,47.430000,44.682430,23264800
2021-01-25,46.900002,47.049999,46.160000,46.900002,44.183136,26395800
2021-01-26,47.259998,47.860001,45.849998,45.869999,43.212799,23976800
2021-01-27,45.000000,46.660000,44.529999,45.349998,42.722923,32410300
2021-01-28,45.939999,46.590000,45.689999,46.060001,43.391796,24967200
2021-01-29,45.549999,46.040001,44.509998,44.840000,42.242466,38961100
2021-02-01,45.580002,45.580002,44.290001,44.919998,42.317829,24412400
2021-02-02,45.810001,46.990002,45.279999,45.630001,42.986702,31940400
2021-02-03,45.630001,47.669998,45.419998,47.419998,44.673004,28459300
2021-02-04,47.880001,48.380001,47.250000,48.330002,45.530296,25280300
2021-02-05,49.180000,50.119999,49.040001,49.950001,47.056446,34980100
2021-02-08,50.919998,52.360001,50.709999,52.099998,49.081902,36998700
2021-02-09,50.669998,50.959999,49.770000,50.630001,48.507061,28977000
2021-02-10,50.630001,51.419998,50.389999,51.119999,48.976509,25723800
2021-02-11,50.889999,50.930000,48.779999,49.840000,47.750183,26972200
2021-02-12,49.430000,50.709999,49.410000,50.520000,48.401672,19756700
2021-02-16,51.959999,52.529999,51.619999,52.040001,49.857937,28060100
2021-02-17,52.349998,53.270000,51.799999,52.849998,50.633972,25509700
2021-02-18,52.810001,52.939999,51.860001,52.020000,49.838779,20627600
2021-02-19,52.110001,52.560001,51.919998,52.369999,50.174095,22607200
2021-02-22,52.590000,54.810001,52.590000,54.299999,52.023174,36435100
2021-02-23,54.980000,55.259998,53.740002,55.049999,52.741730,33527900
2021-02-24,55.189999,57.000000,54.869999,56.700001,54.322540,28728600
2021-02-25,56.980000,57.250000,55.349998,55.759998,53.421955,29670900
2021-02-26,54.410000,55.060001,53.119999,54.369999,52.090240,35291000
2021-03-01,56.470001,57.610001,56.130001,56.400002,54.035122,36998300
2021-03-02,56.650002,56.959999,56.020000,56.070000,53.718956,30302600
2021-03-03,56.419998,57.959999,55.880001,56.520000,54.150089,35358900
2021-03-04,57.119999,59.470001,57.099998,58.709999,56.248260,52137500
2021-03-05,59.830002,61.049999,59.110001,60.930000,58.375179,51429800
2021-03-08,61.580002,61.610001,59.820000,60.869999,58.317692,38154600
2021-03-09,60.610001,61.389999,59.470001,59.930000,57.417107,35645900
2021-03-10,60.520000,61.919998,60.029999,61.770000,59.179951,31579100
2021-03-11,61.779999,62.549999,61.259998,61.310001,58.739243,24802600
2021-03-12,61.549999,62.369999,61.500000,61.970001,59.371567,20422700
2021-03-15,61.490002,61.860001,59.869999,60.389999,57.857815,31243600
2021-03-16,59.540001,59.660000,58.439999,59.110001,56.631489,30624800
2021-03-17,58.689999,59.730000,58.619999,59.369999,56.880589,25575500
2021-03-18,58.810001,58.970001,56.520000,56.810001,54.427929,38622800
2021-03-19,56.709999,57.470001,55.810001,56.490002,54.121349,84439400
2021-03-22,56.500000,56.860001,55.900002,55.910000,53.565666,29315100
2021-03-23,54.939999,56.290001,54.450001,55.220001,52.904598,33493300
2021-03-24,56.080002,57.279999,56.080002,56.340000,53.977638,29781800
2021-03-25,55.209999,56.500000,54.500000,56.180000,53.824345,31495900
2021-03-26,57.299999,57.779999,56.520000,57.709999,55.290192,34226500
2021-03-29,57.340000,57.820000,56.740002,57.400002,54.993191,21144400
2021-03-30,56.860001,57.360001,56.490002,56.689999,54.312954,20303400
2021-03-31,56.349998,56.630001,55.799999,55.830002,53.489025,23686500
2021-04-01,56.320000,57.450001,56.139999,57.389999,54.983608,23194500
2021-04-05,57.299999,57.320000,56.139999,56.500000,54.130928,23264800
2021-04-06,56.840000,57.540001,56.259998,56.340000,53.977638,18926300
2021-04-07,56.389999,56.770000,56.240002,56.590000,54.217155,22385000
2021-04-08,55.930000,56.080002,55.320000,56.000000,53.651894,21999300
2021-04-09,56.000000,56.439999,55.529999,55.869999,53.527344,20020700
2021-04-12,56.759998,56.790001,55.310001,55.500000,53.172859,20238800
2021-04-13,55.299999,55.980000,55.090000,55.709999,53.374050,19370600
2021-04-14,56.410000,58.009998,56.250000,57.320000,54.916546,28051100
2021-04-15,57.419998,57.419998,56.779999,56.980000,54.590801,23250300
2021-04-16,57.360001,57.680000,56.439999,56.660000,54.284214,22752000
2021-04-19,56.750000,57.139999,55.959999,56.480000,54.111767,21123300
2021-04-20,56.470001,56.470001,54.779999,55.290001,52.971661,21782100
2021-04-21,54.500000,56.130001,54.299999,56.000000,53.651894,16625600
2021-04-22,55.990002,55.990002,55.020000,55.270000,52.952499,21600100
2021-04-23,55.270000,55.939999,55.180000,55.570000,53.239922,15337900
2021-04-26,55.470001,56.290001,55.439999,55.680000,53.345310,16083800
2021-04-27,56.009998,56.630001,55.810001,56.410000,54.044701,19278600
2021-04-28,56.910000,58.459999,56.790001,58.110001,55.673420,24729800
2021-04-29,58.919998,59.480000,58.150002,58.939999,56.468613,27318400
2021-04-30,58.330002,58.889999,57.160000,57.240002,54.839901,30518400
2021-05-03,57.980000,58.990002,57.740002,58.820000,56.353649,20509600
2021-05-04,59.000000,59.500000,58.509998,59.189999,56.708130,23522200
2021-05-05,59.770000,61.049999,59.400002,60.970001,58.413502,31526200
2021-05-06,60.860001,61.639999,60.029999,61.549999,58.969177,26836800
2021-05-07,61.070000,62.470001,60.849998,62.430000,59.812283,33610600
2021-05-10,63.240002,64.019997,62.529999,62.580002,59.955990,31956600
2021-05-11,61.630001,62.389999,60.389999,60.590000,58.049435,34563800
2021-05-12,60.009998,61.680000,59.750000,60.040001,58.360481,34426500
2021-05-13,59.000000,60.450001,58.750000,59.299999,57.641182,24268200
2021-05-14,59.930000,60.880001,59.930000,60.770000,59.070061,20735400
2021-05-17,60.540001,62.250000,60.430000,62.189999,60.450336,25282500
2021-05-18,62.000000,62.299999,60.400002,60.430000,58.739571,25170800
2021-05-19,59.099998,59.860001,58.419998,58.980000,57.330132,28889800
2021-05-20,58.950001,59.150002,58.240002,58.840000,57.194050,20692500
2021-05-21,59.419998,59.830002,58.849998,58.919998,57.271812,20792700
2021-05-24,59.080002,59.799999,58.689999,59.610001,57.942509,18400300
2021-05-25,59.500000,59.540001,58.119999,58.259998,56.630272,25616100
2021-05-26,58.250000,59.119999,57.900002,58.939999,57.291248,21698700
2021-05-27,59.230000,59.700001,58.020000,58.560001,56.921883,33556000
2021-05-28,58.730000,58.799999,58.110001,58.369999,56.737198,19246800
2021-06-01,59.450001,60.700001,59.450001,60.459999,58.768730,28474200
2021-06-02,60.750000,61.310001,60.169998,60.939999,59.235302,22978300
2021-06-03,60.549999,61.410000,60.349998,61.180000,59.468590,20272800
2021-06-04,61.459999,61.700001,60.779999,61.450001,59.731041,20427800
2021-06-07,61.330002,61.730000,61.020000,61.049999,59.342228,15477900
2021-06-08,61.500000,62.480000,60.669998,62.130001,60.392017,28953400
2021-06-09,62.669998,63.419998,62.189999,62.650002,60.897472,29133000
2021-06-10,63.610001,63.980000,62.250000,62.750000,60.994671,27488700
2021-06-11,63.009998,63.189999,62.139999,62.169998,60.430897,17631700
2021-06-14,62.299999,62.779999,61.570000,62.070000,60.333694,16997200
2021-06-15,62.480000,64.400002,62.349998,64.330002,62.530476,30717100
2021-06-16,64.320000,64.800003,63.560001,64.099998,62.306908,24803200
2021-06-17,63.860001,64.459999,61.270000,61.990002,60.255932,28491800
2021-06-18,61.000000,61.549999,60.240002,60.400002,58.710415,39590700
2021-06-21,60.930000,62.700001,60.900002,62.590000,60.839149,33145400
2021-06-22,62.849998,64.010002,62.230000,63.790001,62.005581,25140400
2021-06-23,64.050003,64.699997,63.580002,64.260002,62.462433,20701600
2021-06-24,64.150002,64.559998,63.810001,64.519997,62.715157,19568400
2021-06-25,64.610001,64.930000,64.360001,64.660004,62.851250,18438300
2021-06-28,64.559998,64.559998,62.750000,63.009998,61.247398,20570000
2021-06-29,63.209999,63.770000,62.590000,62.619999,60.868309,19579300
2021-06-30,62.700001,63.230000,62.450001,63.080002,61.315441,17875500
2021-07-01,64.330002,64.419998,62.770000,63.259998,61.490402,22530300
2021-07-02,63.009998,63.320000,62.419998,63.169998,61.402920,14555300
2021-07-06,62.750000,62.759998,60.900002,61.369999,59.653275,22110800
2021-07-07,61.180000,61.810001,59.619999,60.410000,58.720131,21671400
2021-07-08,59.450001,60.709999,59.310001,60.139999,58.457684,18935900
2021-07-09,60.700001,61.450001,60.240002,61.230000,59.517189,20086000
2021-07-12,60.419998,61.500000,60.160000,61.169998,59.458870,21809400
2021-07-13,61.000000,61.509998,60.509998,60.880001,59.176983,17147300
2021-07-14,61.169998,61.730000,59.360001,59.529999,57.864746,21573600
2021-07-15,59.169998,59.700001,58.770000,58.950001,57.300972,15851100
